Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2010-09-19,Chargers,Jaguars,4,8:14,3,12,SDG 46,37-6,Philip Rivers pass complete deep right to Malcom Floyd for 54 yards touchdown,54,0.630,7.000,6.37
2010-09-13,Chargers,Chiefs,1,1:56,3,3,KAN 3,6-0,Philip Rivers pass complete short middle to Antonio Gates for 3 yards touchdown,3,4.720,7.000,2.28
2010-09-13,Chargers,Chiefs,3,2:33,1,10,SDG 41,13-21,Philip Rivers pass complete deep middle to Legedu Naanee for 59 yards touchdown,59,1.660,7.000,5.34
2010-01-17,Chargers,Jets,2,12:22,2,7,NYJ 13,6-0,Philip Rivers pass complete short middle to Kris Wilson for 13 yards touchdown,13,4.390,7.000,2.61
2010-01-03,Chargers,Washington,1,6:42,3,9,WAS 12,9-0,Philip Rivers pass complete short left to Antonio Gates for 12 yards touchdown,12,3.280,7.000,3.72
2009-12-25,Chargers,Titans,2,8:56,2,15,OTI 36,13-3,Philip Rivers pass complete deep left to Antonio Gates for 36 yards touchdown,36,2.290,7.000,4.71
2009-12-25,Chargers,Titans,2,3:17,3,2,OTI 3,20-3,Philip Rivers pass complete short right to Darren Sproles for 3 yards touchdown,3,4.890,7.000,2.11
2009-12-20,Chargers,Bengals,1,10:11,3,3,CIN 3,6-0,Philip Rivers pass complete short middle to Antonio Gates for 3 yards touchdown,3,4.720,7.000,2.28
2009-12-20,Chargers,Bengals,2,3:19,2,9,CIN 21,13-10,Philip Rivers pass complete deep left to Vincent Jackson for 21 yards touchdown,21,3.700,7.000,3.30
2009-12-20,Chargers,Bengals,3,6:33,2,4,CIN 34,20-13,Philip Rivers pass complete deep left to Vincent Jackson for 34 yards touchdown,34,3.180,7.000,3.82
2009-12-13,Chargers,Cowboys,4,11:02,1,10,DAL 14,16-10,Philip Rivers pass complete short left to Antonio Gates for 14 yards touchdown,14,4.650,7.000,2.35
2009-12-06,Chargers,Browns,1,0:58,1,10,SDG 34,9-7,Philip Rivers pass complete short left to Mike Tolbert for 66 yards touchdown,66,1.200,7.000,5.80
2009-12-06,Chargers,Browns,3,10:41,2,7,CLE 31,19-7,Philip Rivers pass complete short left to Darren Sproles for 31 yards touchdown,31,3.180,7.000,3.82
2009-11-29,Chargers,Chiefs,1,4:19,3,7,KAN 19,6-0,Philip Rivers pass complete short middle to Antonio Gates for 19 yards touchdown. Penalty on Jovan Belcher: Defensive Holding (Declined),19,3.260,7.000,3.74
2009-11-29,Chargers,Chiefs,2,2:58,2,8,KAN 15,20-7,Philip Rivers pass complete short middle to Antonio Gates for 15 yards touchdown,15,4.150,7.000,2.85
2009-11-22,Chargers,Broncos,1,6:03,3,2,DEN 2,6-0,Philip Rivers pass complete short middle to Legedu Naanee for 2 yards touchdown,2,4.950,7.000,2.05
2009-11-15,Chargers,Eagles,1,7:58,2,10,PHI 20,6-0,Philip Rivers pass complete short middle to Mike Tolbert for 20 yards touchdown,20,3.690,7.000,3.31
2009-11-15,Chargers,Eagles,3,1:19,1,10,PHI 20,27-9,Philip Rivers pass complete deep right to Legedu Naanee for 20 yards touchdown. Penalty on Legedu Naanee: Unsportsmanlike Conduct 15 yards,20,4.240,7.000,2.76
2009-11-08,Chargers,Giants,2,15:00,1,10,NYG 10,6-0,Philip Rivers pass complete short middle to Vincent Jackson for 10 yards touchdown,10,4.910,7.000,2.09
2009-11-08,Chargers,Giants,3,4:00,2,2,NYG 2,13-7,Philip Rivers pass complete short right to Kris Wilson for 2 yards touchdown,2,5.720,7.000,1.28
2009-11-08,Chargers,Giants,4,0:29,1,10,NYG 18,20-20,Philip Rivers pass complete deep right to Vincent Jackson for 18 yards touchdown,18,4.370,7.000,2.63
2009-11-01,Chargers,Raiders,2,6:13,3,4,RAI 8,13-7,Philip Rivers pass complete short right to Vincent Jackson for 8 yards touchdown,8,4.280,7.000,2.72
2009-10-25,Chargers,Chiefs,1,7:36,3,3,KAN 3,6-0,Philip Rivers pass complete short left to Malcom Floyd for 3 yards touchdown,3,4.720,7.000,2.28
2009-10-25,Chargers,Chiefs,1,1:31,2,7,KAN 10,13-0,Philip Rivers pass complete short left to Vincent Jackson for 10 yards touchdown,10,4.580,7.000,2.42
2009-10-25,Chargers,Chiefs,3,5:56,3,4,SDG 42,26-7,Philip Rivers pass complete short right to Darren Sproles for 58 yards touchdown,58,0.890,7.000,6.11
2009-10-19,Chargers,Broncos,1,0:11,2,3,DEN 3,9-7,Philip Rivers pass complete short middle to Vincent Jackson for 3 yards touchdown,3,5.530,7.000,1.47
2009-10-04,Chargers,Steelers,3,1:40,3,3,PIT 3,6-28,Philip Rivers pass complete short middle to Antonio Gates for 3 yards touchdown. Penalty on Deshea Townsend: Defensive Holding (Declined),3,4.720,7.000,2.28
2009-10-04,Chargers,Steelers,4,5:57,1,10,PIT 30,20-35,Philip Rivers pass complete deep left to Antonio Gates for 30 yards touchdown,30,3.580,7.000,3.42
2009-10-04,Chargers,Steelers,4,4:39,1,10,PIT 13,27-35,Philip Rivers pass complete short right to Chris Chambers for 13 yards touchdown,13,4.710,7.000,2.29
2009-09-20,Chargers,Ravens,1,9:31,3,3,SDG 19,6-0,Philip Rivers pass complete short right to Darren Sproles for 81 yards touchdown,81,-0.600,7.000,7.60
2009-09-20,Chargers,Ravens,3,2:33,3,18,RAV 35,22-28,Philip Rivers pass complete deep left to Vincent Jackson for 35 yards touchdown,35,1.490,7.000,5.51
2009-09-14,Chargers,Raiders,4,7:29,2,9,RAI 15,16-13,Philip Rivers pass complete short left to Vincent Jackson for 15 yards touchdown,15,4.050,7.000,2.95
2009-01-11,Chargers,Steelers,1,13:08,1,10,PIT 41,6-0,Philip Rivers pass complete deep middle to Vincent Jackson for 41 yards touchdown. Penalty on Vincent Jackson: Unsportsmanlike Conduct 15 yards,41,2.850,7.000,4.15
2009-01-11,Chargers,Steelers,4,9:13,1,4,PIT 4,16-28,Philip Rivers pass complete short left to Legedu Naanee for 4 yards touchdown,4,6.280,7.000,.72
2009-01-11,Chargers,Steelers,4,2:03,3,13,SDG 38,23-35,Philip Rivers pass complete deep middle to Darren Sproles for 62 yards touchdown,62,0.040,7.000,6.96
2008-12-28,Chargers,Broncos,2,11:39,2,7,DEN 12,16-6,Philip Rivers pass complete short right to Brandon Manumaleuna for 12 yards touchdown,12,4.450,7.000,2.55
2008-12-28,Chargers,Broncos,3,10:06,3,3,DEN 13,30-13,Philip Rivers pass complete short right to Darren Sproles for 13 yards touchdown,13,4.100,7.000,2.90
2008-12-21,Chargers,Buccaneers,1,5:14,1,10,TAM 11,6-0,Philip Rivers pass complete short left to Brandon Manumaleuna for 11 yards touchdown,11,4.840,7.000,2.16
2008-12-21,Chargers,Buccaneers,2,13:37,3,11,TAM 15,13-7,Philip Rivers pass complete short left to Antonio Gates for 15 yards touchdown,15,3.060,7.000,3.94
2008-12-21,Chargers,Buccaneers,4,15:00,3,5,TAM 5,26-24,Philip Rivers pass complete short right to Antonio Gates for 5 yards touchdown,5,4.260,7.000,2.74
2008-12-21,Chargers,Buccaneers,4,7:29,2,8,TAM 32,33-24,Philip Rivers pass complete short right to Darren Sproles for 32 yards touchdown,32,3.040,7.000,3.96
2008-12-14,Chargers,Chiefs,4,1:19,2,4,KAN 4,16-21,Philip Rivers pass complete short middle to Malcom Floyd for 4 yards touchdown,4,5.340,7.000,1.66
2008-12-14,Chargers,Chiefs,4,0:40,3,1,KAN 10,22-21,Philip Rivers pass complete short middle to Vincent Jackson for 10 yards touchdown,10,4.690,7.000,2.31
2008-12-04,Chargers,Raiders,2,13:04,3,7,RAI 8,16-0,Philip Rivers pass complete short left to Darren Sproles for 8 yards touchdown,8,3.760,7.000,3.24
2008-12-04,Chargers,Raiders,2,9:11,3,6,SDG 41,23-0,Philip Rivers pass complete deep right to Vincent Jackson for 59 yards touchdown,59,0.700,7.000,6.30
