Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2019-11-17,Falcons,Panthers,3,6:47,2,6,CAR 6,26-0,Matt Ryan pass complete short left to Calvin Ridley for 6 yards touchdown,6,4.950,7.000,2.05
2019-11-10,Falcons,Saints,2,11:13,2,8,NOR 8,9-3,Matt Ryan pass complete short middle to Austin Hooper for 8 yards touchdown,8,4.570,7.000,2.43
2019-11-10,Falcons,Saints,4,15:00,3,8,NOR 10,19-9,Matt Ryan pass complete short left to Brian Hill for 10 yards touchdown,10,3.480,7.000,3.52
2019-10-13,Falcons,Cardinals,1,9:30,1,9,CRD 9,6-0,Matt Ryan pass complete short right to Calvin Ridley for 9 yards touchdown,9,5.140,7.000,1.86
2019-10-13,Falcons,Cardinals,3,1:08,3,4,CRD 7,19-27,Matt Ryan pass complete short middle to Devonta Freeman for 7 yards touchdown,7,4.330,7.000,2.67
2019-10-13,Falcons,Cardinals,4,10:56,2,6,CRD 6,26-27,Matt Ryan pass complete short left to Austin Hooper for 6 yards touchdown,6,4.950,7.000,2.05
2019-10-13,Falcons,Cardinals,4,2:00,1,10,CRD 12,33-34,Matt Ryan pass complete short middle to Devonta Freeman for 12 yards touchdown,12,4.780,7.000,2.22
2019-10-06,Falcons,Texans,1,9:10,2,9,HTX 14,6-0,Matt Ryan pass complete short middle to Mohamed Sanu for 14 yards touchdown,14,4.110,7.000,2.89
2019-10-06,Falcons,Texans,2,0:29,3,5,HTX 9,16-16,Matt Ryan pass complete short right to Devonta Freeman for 9 yards touchdown,9,4.050,7.000,2.95
2019-10-06,Falcons,Texans,4,3:31,3,12,HTX 29,31-40,Matt Ryan pass complete deep right to Calvin Ridley for 29 yards touchdown,29,2.280,7.000,4.72
2019-09-22,Falcons,Colts,3,10:37,1,10,CLT 13,9-20,Matt Ryan pass complete short middle to Austin Hooper for 13 yards touchdown,13,4.710,7.000,2.29
2019-09-22,Falcons,Colts,4,13:56,3,2,CLT 2,16-20,Matt Ryan pass complete short right to Austin Hooper for 2 yards touchdown touchdown,2,4.950,7.000,2.05
2019-09-22,Falcons,Colts,4,4:17,2,10,CLT 10,23-27,Matt Ryan pass complete short left to Julio Jones for 10 yards touchdown,10,4.190,7.000,2.81
2019-09-15,Falcons,Eagles,2,5:04,3,6,PHI 34,9-3,Matt Ryan pass complete deep middle to Calvin Ridley for 34 yards touchdown,34,2.340,7.000,4.66
2019-09-15,Falcons,Eagles,3,13:31,2,4,PHI 4,16-6,Matt Ryan pass complete short right to Julio Jones for 4 yards touchdown,4,5.340,7.000,1.66
2019-09-15,Falcons,Eagles,4,2:20,4,3,ATL 46,23-20,Matt Ryan pass complete short left to Julio Jones for 54 yards touchdown,54,-0.320,7.000,7.32
2019-09-08,Falcons,Vikings,4,9:25,4,5,MIN 20,6-28,Matt Ryan pass complete deep left to Calvin Ridley for 20 yards touchdown,20,2.170,7.000,4.83
2019-09-08,Falcons,Vikings,4,1:09,1,2,MIN 2,12-28,Matt Ryan pass complete short left to Julio Jones for 2 yards touchdown,2,6.740,7.000,.26
2018-12-30,Falcons,Buccaneers,2,0:24,2,1,TAM 19,6-17,Matt Ryan pass complete deep middle to Julio Jones for 19 yards touchdown,19,4.420,7.000,2.58
2018-12-30,Falcons,Buccaneers,3,8:55,3,5,TAM 5,13-17,Mohamed Sanu pass complete short right to Matt Ryan for 5 yards touchdown,5,4.260,7.000,2.74
2018-12-30,Falcons,Buccaneers,4,10:57,1,7,TAM 7,30-20,Matt Ryan pass complete short right to Calvin Ridley for 7 yards touchdown,7,5.600,7.000,1.40
2018-12-23,Falcons,Panthers,1,0:44,3,1,CAR 1,6-7,Matt Ryan pass complete short right to Julio Jones for 1 yard touchdown,1,5.170,7.000,1.83
2018-12-23,Falcons,Panthers,3,15:00,1,10,ATL 25,16-10,Matt Ryan pass complete deep left to Calvin Ridley for 75 yards touchdown touchdown,75,0.610,7.000,6.39
2018-12-23,Falcons,Panthers,3,4:45,1,10,CAR 44,23-10,Matt Ryan pass complete deep left to Mohamed Sanu for 44 yards touchdown,44,2.650,7.000,4.35
2018-12-16,Falcons,Cardinals,2,0:19,2,10,CRD 21,26-7,Matt Ryan pass complete deep left to Julio Jones for 21 yards touchdown. Penalty on Chandler Jones: Roughing the Passer 15 yards,21,3.630,7.000,3.37
2018-12-16,Falcons,Cardinals,4,11:20,3,5,CRD 5,39-7,Matt Ryan pass complete short left to Justin Hardy for 5 yards touchdown,5,4.260,7.000,2.74
2018-12-09,Falcons,Packers,1,11:43,1,10,GNB 16,6-0,Matt Ryan pass complete short right to Julio Jones for 16 yards touchdown,16,4.510,7.000,2.49
2018-12-09,Falcons,Packers,4,13:39,1,10,GNB 12,13-34,Matt Ryan pass complete short left to Julio Jones for 12 yards touchdown,12,4.780,7.000,2.22
2018-12-09,Falcons,Packers,4,0:18,4,2,GNB 19,20-34,Matt Ryan pass complete short middle to Justin Hardy for 19 yards touchdown,19,2.310,7.000,4.69
2018-12-02,Falcons,Ravens,4,4:22,1,1,RAV 1,16-26,Matt Ryan pass complete short middle to Austin Hooper for 1 yard touchdown touchdown,1,6.970,7.000,.03
2018-11-22,Falcons,Saints,3,0:28,4,2,NOR 2,9-24,Matt Ryan pass complete short left to Calvin Ridley for 2 yards touchdown,2,3.250,7.000,3.75
2018-11-22,Falcons,Saints,4,1:54,2,4,NOR 4,17-31,Matt Ryan pass complete short left to Tevin Coleman for 4 yards touchdown,4,5.340,7.000,1.66
2018-11-18,Falcons,Cowboys,4,1:59,2,1,DAL 34,18-19,Matt Ryan pass complete deep right to Julio Jones for 34 yards touchdown,34,3.390,7.000,3.61
2018-11-11,Falcons,Browns,2,5:08,3,1,CLE 1,9-7,Matt Ryan pass complete short left to Julio Jones for 1 yard touchdown,1,5.170,7.000,1.83
2018-11-11,Falcons,Browns,4,4:29,4,3,CLE 3,16-28,Matt Ryan pass complete short right to Austin Hooper for 3 yards touchdown,3,3.040,7.000,3.96
2018-11-04,Falcons,Washington,1,9:56,1,10,WAS 39,6-0,Matt Ryan pass complete short left to Tevin Coleman for 39 yards touchdown,39,2.980,7.000,4.02
2018-11-04,Falcons,Washington,2,0:36,3,9,WAS 40,20-7,Matt Ryan pass complete short middle to Calvin Ridley for 40 yards touchdown,40,1.750,7.000,5.25
2018-11-04,Falcons,Washington,3,10:04,1,10,WAS 10,27-7,Matt Ryan pass complete short right to Tevin Coleman for 10 yards touchdown,10,4.910,7.000,2.09
