Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2025-10-12,Rams,Ravens,3,10:25,1,8,RAV 8,16-3,Matthew Stafford pass complete short right to Tyler Higbee for 8 yards touchdown,8,,,
2025-10-02,Rams,49ers,2,2:15,1,10,SFO 14,6-14,Matthew Stafford pass complete short right to Kyren Williams for 14 yards touchdown,14,,,
2025-10-02,Rams,49ers,3,3:48,2,1,SFO 1,13-20,Matthew Stafford pass complete short right to Puka Nacua for 1 yard touchdown,1,,,
2025-10-02,Rams,49ers,4,10:43,2,8,SFO 8,20-20,Matthew Stafford pass complete short left to Kyren Williams for 8 yards touchdown,8,,,
2025-09-28,Rams,Colts,2,0:11,2,10,CLT 10,12-10,Matthew Stafford pass complete short middle to Davante Adams for 10 yards touchdown,10,,,
2025-09-28,Rams,Colts,4,3:24,4,2,CLT 9,19-20,Matthew Stafford pass complete short left to Puka Nacua for 9 yards touchdown,9,,,
2025-09-28,Rams,Colts,4,1:44,1,10,RAM 12,26-20,Matthew Stafford pass complete deep left to Tutu Atwell for 88 yards touchdown,88,,,
2025-09-21,Rams,Eagles,1,1:28,1,10,PHI 44,9-7,Matthew Stafford pass complete deep left to Davante Adams for 44 yards touchdown,44,,,
2025-09-21,Rams,Eagles,3,14:12,1,10,PHI 10,25-7,Matthew Stafford pass complete short right to Kyren Williams for 10 yards touchdown,10,,,
2025-09-14,Rams,Titans,3,1:21,1,8,OTI 8,19-16,Matthew Stafford pass complete short right to Davis Allen for 7 yards LAR challenged the short of the line to gain ruling and the original play was overturned. Matthew Stafford pass complete short right to Davis Allen for 8 yards touchdown (tackle by Jarvis Brownlee),8,,,
2025-09-14,Rams,Titans,4,9:44,3,5,OTI 16,26-16,Matthew Stafford pass complete deep right to Davante Adams for 16 yards touchdown,16,,,
2025-09-07,Rams,Texans,3,12:33,1,10,HTX 13,13-9,Matthew Stafford pass complete short left to Davis Allen for 13 yards touchdown,13,,,
2025-01-19,Rams,Eagles,1,6:36,3,4,PHI 4,6-6,Matthew Stafford pass complete short left to Tyler Higbee for 4 yards touchdown,4,4.490,7.000,2.51
2025-01-19,Rams,Eagles,4,2:51,3,4,PHI 4,21-28,Matthew Stafford pass complete short middle to Colby Parkinson for 4 yards touchdown,4,4.490,7.000,2.51
2025-01-13,Rams,Vikings,1,10:28,1,5,MIN 5,6-0,Matthew Stafford pass complete short middle to Kyren Williams for 5 yards touchdown,5,6.060,7.000,.94
2025-01-13,Rams,Vikings,2,0:21,1,10,MIN 13,23-3,Matthew Stafford pass complete short middle to Davis Allen for 13 yards touchdown,13,4.710,7.000,2.29
2024-12-22,Rams,Jets,4,10:17,1,10,NYJ 11,15-9,Matthew Stafford pass complete short right to Tyler Higbee for 11 yards touchdown,11,4.840,7.000,2.16
2024-12-08,Rams,Bills,3,0:22,3,3,BUF 17,37-21,Matthew Stafford pass complete deep middle to Cooper Kupp for 17 yards touchdown,17,3.750,7.000,3.25
2024-12-08,Rams,Bills,4,2:00,3,5,BUF 19,44-35,Matthew Stafford pass complete short right to Puka Nacua for 19 yards touchdown,19,3.410,7.000,3.59
2024-12-01,Rams,Saints,4,15:00,1,3,NOR 3,13-6,Matthew Stafford pass complete short right to Demarcus Robinson for 3 yards touchdown,3,6.510,7.000,.49
2024-12-01,Rams,Saints,4,8:57,2,7,NOR 7,20-14,Matthew Stafford pass complete short right to Puka Nacua for 7 yards touchdown,7,4.760,7.000,2.24
2024-11-24,Rams,Eagles,3,10:55,2,2,PHI 2,13-20,Matthew Stafford pass complete short right to Demarcus Robinson for 2 yards touchdown,2,5.720,7.000,1.28
2024-11-24,Rams,Eagles,4,1:12,2,10,PHI 27,20-37,Matthew Stafford pass complete short middle to Cooper Kupp for 27 yards touchdown,27,3.230,7.000,3.77
2024-11-17,Rams,Patriots,2,7:22,2,5,NWE 5,6-7,Matthew Stafford pass complete short right to Cooper Kupp for 5 yards touchdown,5,5.150,7.000,1.85
2024-11-17,Rams,Patriots,2,5:49,1,10,NWE 12,13-7,Matthew Stafford pass complete short right to Puka Nacua for 12 yards touchdown,12,4.780,7.000,2.22
2024-11-17,Rams,Patriots,3,14:19,2,9,RAM 31,20-10,Matthew Stafford pass complete deep middle to Cooper Kupp for 69 yards touchdown,69,0.530,7.000,6.47
2024-11-17,Rams,Patriots,3,3:35,2,2,NWE 19,27-13,Matthew Stafford pass complete deep left to Colby Parkinson for 19 yards touchdown,19,4.350,7.000,2.65
2024-11-03,Rams,Seahawks,3,8:31,2,1,SEA 1,9-13,Matthew Stafford pass complete short right to Demarcus Robinson for 1 yard touchdown,1,5.910,7.000,1.09
2024-11-03,Rams,Seahawks,5,5:04,2,6,SEA 39,26-20,Matthew Stafford pass complete deep left to Demarcus Robinson for 39 yards touchdown,39,2.720,6.000,3.28
2024-10-24,Rams,Vikings,1,6:42,3,5,MIN 5,6-7,Matthew Stafford pass complete short middle to Kyren Williams for 5 yards touchdown,5,4.260,7.000,2.74
2024-10-24,Rams,Vikings,2,10:11,2,7,MIN 7,13-14,Matthew Stafford pass complete short left to Cooper Kupp for 7 yards touchdown,7,4.760,7.000,2.24
2024-10-24,Rams,Vikings,3,2:40,2,8,MIN 25,20-17,Matthew Stafford pass complete deep right to Demarcus Robinson for 25 yards touchdown. Penalty on Shaquill Griffin: Defensive Pass Interference 15 yards (declined),25,3.500,7.000,3.50
2024-10-24,Rams,Vikings,4,6:23,3,4,MIN 10,27-20,Matthew Stafford pass complete short right to Demarcus Robinson for 10 yards touchdown,10,4.170,7.000,2.83
2024-10-06,Rams,Packers,4,3:34,1,1,GNB 1,19-24,Matthew Stafford pass complete short right to Demarcus Robinson for 1 yard touchdown,1,6.970,7.000,.03
2024-09-22,Rams,49ers,2,1:15,2,9,SFO 15,6-14,Matthew Stafford pass complete short middle to Kyren Williams for 15 yards touchdown,15,4.050,7.000,2.95
2024-09-08,Rams,Lions,4,4:35,1,9,DET 9,19-17,Matthew Stafford pass complete short left to Cooper Kupp for 9 yards touchdown,9,5.140,7.000,1.86
2024-01-14,Rams,Lions,2,13:32,3,1,RAM 50,9-14,Matthew Stafford pass complete deep left to Puka Nacua for 50 yards touchdown,50,1.620,7.000,5.38
2024-01-14,Rams,Lions,2,4:11,1,10,DET 38,16-21,Matthew Stafford pass complete deep right to Tutu Atwell for 38 yards touchdown,38,3.050,7.000,3.95
2023-12-31,Rams,Giants,2,1:48,2,5,NYG 5,13-7,Matthew Stafford pass complete short right to Cooper Kupp for 5 yards touchdown,5,5.150,7.000,1.85
2023-12-21,Rams,Saints,1,2:32,4,2,NOR 2,6-0,Matthew Stafford pass complete short right to Puka Nacua for 2 yards touchdown,2,3.250,7.000,3.75
2023-12-21,Rams,Saints,2,0:25,2,3,NOR 4,16-7,Matthew Stafford pass complete short middle to Demarcus Robinson for 4 yards touchdown,4,5.470,7.000,1.53
2023-12-17,Rams,Washington,3,14:16,1,10,RAM 38,19-0,Matthew Stafford pass complete deep left to Cooper Kupp for 62 yards touchdown,62,1.470,7.000,5.53
2023-12-17,Rams,Washington,4,13:31,3,9,WAS 23,26-7,Matthew Stafford pass complete deep right to Demarcus Robinson for 23 yards touchdown,23,2.870,7.000,4.13
2023-12-10,Rams,Ravens,2,12:06,3,6,RAV 6,9-7,Matthew Stafford pass complete short left to Cooper Kupp for 6 yards touchdown,6,4.040,7.000,2.96
2023-12-10,Rams,Ravens,2,5:06,2,7,RAV 7,16-14,Matthew Stafford pass complete short right to Davis Allen for 7 yards touchdown,7,4.760,7.000,2.24
2023-12-10,Rams,Ravens,4,4:47,2,5,RAV 5,28-23,Matthew Stafford pass complete short right to Demarcus Robinson for 5 yards touchdown,5,5.150,7.000,1.85
2023-12-03,Rams,Browns,1,4:08,2,1,RAM 30,9-7,Matthew Stafford pass complete deep middle to Puka Nacua for 70 yards touchdown,70,1.020,7.000,5.98
2023-12-03,Rams,Browns,3,0:45,2,7,CLE 7,19-13,Matthew Stafford pass complete short right to Demarcus Robinson for 7 yards touchdown,7,4.760,7.000,2.24
2023-12-03,Rams,Browns,4,3:51,3,3,CLE 3,26-19,Matthew Stafford pass complete short right to Cooper Kupp for 3 yards touchdown,3,4.720,7.000,2.28
2023-11-26,Rams,Cardinals,1,11:23,2,3,CRD 7,6-0,Matthew Stafford pass complete short left to Tyler Higbee for 7 yards touchdown,7,5.280,7.000,1.72
2023-11-26,Rams,Cardinals,2,10:01,2,5,CRD 5,13-8,Matthew Stafford pass complete short middle to Tyler Higbee for 5 yards touchdown,5,5.150,7.000,1.85
2023-11-26,Rams,Cardinals,2,1:05,1,10,CRD 15,20-8,Matthew Stafford pass complete short left to Kyren Williams for 15 yards touchdown,15,4.580,7.000,2.42
2023-11-26,Rams,Cardinals,4,12:45,3,3,CRD 3,30-8,Matthew Stafford pass complete short left to Kyren Williams for 3 yards touchdown,3,4.720,7.000,2.28
2023-11-19,Rams,Seahawks,2,0:12,3,4,SEA 4,6-13,Matthew Stafford pass complete short right to Puka Nacua for 4 yards touchdown,4,4.490,7.000,2.51
2023-10-29,Rams,Cowboys,3,11:35,3,6,DAL 20,15-33,Matthew Stafford pass complete short middle to Ben Skowronek for 20 yards touchdown,20,3.270,7.000,3.73
2023-10-22,Rams,Steelers,2,0:25,2,10,PIT 31,9-3,Matthew Stafford pass complete deep left to Tutu Atwell for 31 yards touchdown,31,2.970,7.000,4.03
2023-10-15,Rams,Cardinals,3,9:01,3,9,CRD 13,12-9,Matthew Stafford pass complete short right to Cooper Kupp for 13 yards touchdown,13,3.260,7.000,3.74
2023-10-08,Rams,Eagles,1,2:04,3,3,PHI 3,6-7,Matthew Stafford pass complete short left to Tutu Atwell for 3 yards touchdown,3,4.720,7.000,2.28
2023-10-08,Rams,Eagles,2,0:38,3,10,PHI 22,13-10,Matthew Stafford pass complete deep right to Puka Nacua for 22 yards touchdown,22,2.870,7.000,4.13
2023-10-01,Rams,Colts,5,5:55,3,4,CLT 22,29-23,Matthew Stafford pass complete short middle to Puka Nacua for 22 yards touchdown,22,3.270,6.000,2.73
2023-09-25,Rams,Bengals,4,1:06,3,1,CIN 1,15-19,Matthew Stafford pass complete short left to Tutu Atwell for 1 yard touchdown,1,5.170,7.000,1.83
2023-09-17,Rams,49ers,2,9:55,1,6,SFO 6,9-10,Matthew Stafford pass complete short right to Kyren Williams for 6 yards touchdown,6,5.830,7.000,1.17
2022-11-20,Rams,Saints,1,4:08,1,10,RAM 38,6-3,Matthew Stafford pass complete deep left to Tutu Atwell for 62 yards touchdown,62,1.470,7.000,5.53
2022-11-20,Rams,Saints,2,0:22,1,6,NOR 6,13-10,Matthew Stafford pass complete short right to Allen Robinson for 6 yards touchdown,6,5.830,7.000,1.17
2022-11-06,Rams,Buccaneers,2,13:08,2,11,RAM 31,6-3,Matthew Stafford pass complete deep middle to Cooper Kupp for 69 yards touchdown,69,0.390,7.000,6.61
2022-10-30,Rams,49ers,2,6:41,1,10,SFO 16,13-7,Matthew Stafford pass complete short middle to Cooper Kupp for 16 yards touchdown,16,4.510,7.000,2.49
2022-10-16,Rams,Panthers,2,3:39,1,5,CAR 5,6-3,Matthew Stafford pass complete short left to Allen Robinson for 5 yards touchdown,5,6.060,7.000,.94
2022-10-09,Rams,Cowboys,2,9:42,3,2,RAM 25,9-9,Matthew Stafford pass complete short right to Cooper Kupp for 75 yards touchdown,75,-0.240,7.000,7.24
2022-09-18,Rams,Falcons,1,1:48,3,1,ATL 1,6-0,Matthew Stafford pass complete short left to Allen Robinson for 1 yard touchdown,1,5.170,7.000,1.83
2022-09-18,Rams,Falcons,2,0:18,2,3,ATL 3,20-3,Matthew Stafford pass complete short left to Cooper Kupp for 3 yards touchdown,3,5.530,7.000,1.47
2022-09-18,Rams,Falcons,3,9:28,3,4,ATL 10,27-3,Matthew Stafford pass complete short right to Cooper Kupp for 10 yards touchdown,10,4.170,7.000,2.83
2022-09-08,Rams,Bills,2,3:05,2,4,BUF 4,6-10,Matthew Stafford pass complete short right to Cooper Kupp for 4 yards touchdown,4,5.340,7.000,1.66
2022-02-13,Rams,Bengals,1,6:26,3,3,CIN 17,6-0,Matthew Stafford pass complete deep right to Odell Beckham for 17 yards touchdown,17,3.750,7.000,3.25
2022-02-13,Rams,Bengals,2,12:56,2,5,CIN 11,13-3,Matthew Stafford pass complete short right to Cooper Kupp for 11 yards touchdown,11,4.760,7.000,2.24
2022-02-13,Rams,Bengals,4,1:29,2,1,CIN 1,22-20,Matthew Stafford pass complete short right to Cooper Kupp for 1 yard touchdown,1,5.910,7.000,1.09
2022-01-30,Rams,49ers,2,8:50,3,13,SFO 16,6-0,Matthew Stafford pass complete deep right to Cooper Kupp for 16 yards touchdown,16,2.970,7.000,4.03
2022-01-30,Rams,49ers,4,13:35,3,1,SFO 11,13-17,Matthew Stafford pass complete short left to Cooper Kupp for 11 yards touchdown,11,4.590,7.000,2.41
2022-01-23,Rams,Buccaneers,1,3:34,1,7,TAM 7,9-0,Matthew Stafford pass complete short left to Kendall Blanton for 7 yards touchdown,7,5.600,7.000,1.40
2022-01-23,Rams,Buccaneers,2,14:28,3,20,RAM 30,16-3,Matthew Stafford pass complete deep right to Cooper Kupp for 70 yards touchdown,70,-0.960,7.000,7.96
2022-01-17,Rams,Cardinals,1,3:55,3,4,CRD 4,6-0,Matthew Stafford pass complete short left to Odell Beckham for 4 yards touchdown,4,4.490,7.000,2.51
2022-01-17,Rams,Cardinals,3,10:40,2,6,CRD 7,27-0,Matthew Stafford pass complete short right to Cooper Kupp for 7 yards touchdown,7,4.890,7.000,2.11
