Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2016-10-20,Packers,Bears,4,5:39,3,2,CHI 2,26-10,Aaron Rodgers pass complete short right to Randall Cobb for 2 yards touchdown,2,4.950,7.000,2.05
2016-10-16,Packers,Cowboys,4,6:57,2,5,DAL 6,15-27,Aaron Rodgers pass complete short right to Randall Cobb for 6 yards touchdown,6,5.080,7.000,1.92
2016-10-09,Packers,Giants,1,6:23,2,2,NYG 2,6-0,Aaron Rodgers pass complete short right to Jordy Nelson for 2 yards touchdown,2,5.720,7.000,1.28
2016-10-09,Packers,Giants,2,6:07,2,1,NYG 29,13-3,Aaron Rodgers pass complete deep right to Davante Adams for 29 yards touchdown,29,3.720,7.000,3.28
2016-09-25,Packers,Lions,1,11:27,3,7,DET 14,6-0,Aaron Rodgers pass complete short middle to Davante Adams for 14 yards touchdown,14,3.500,7.000,3.50
2016-09-25,Packers,Lions,1,1:07,3,7,DET 8,13-3,Aaron Rodgers pass complete short middle to Jordy Nelson for 8 yards touchdown,8,3.760,7.000,3.24
2016-09-25,Packers,Lions,2,14:51,1,2,DET 2,20-3,Aaron Rodgers pass complete short right to Richard Rodgers for 2 yards touchdown. Penalty on DET: Defensive Holding (Declined),2,6.740,7.000,.26
2016-09-25,Packers,Lions,2,1:14,3,2,DET 17,30-3,Aaron Rodgers pass complete deep right to Jordy Nelson for 17 yards touchdown,17,3.850,7.000,3.15
2016-09-18,Packers,Vikings,1,5:44,2,1,MIN 1,6-0,Aaron Rodgers pass complete short left to Jordy Nelson for 1 yard touchdown,1,5.910,7.000,1.09
2016-09-11,Packers,Jaguars,2,3:14,2,4,JAX 6,13-10,Aaron Rodgers pass complete short middle to Jordy Nelson for 6 yards touchdown,6,5.210,7.000,1.79
2016-09-11,Packers,Jaguars,2,0:20,3,10,JAX 29,20-17,Aaron Rodgers pass complete deep middle to Davante Adams for 29 yards touchdown. Penalty on Davon House: Defensive Pass Interference (Declined),29,2.410,7.000,4.59
2016-01-16,Packers,Cardinals,3,10:25,3,8,CRD 8,12-7,Aaron Rodgers pass complete short right to Jeff Janis for 8 yards touchdown,8,3.580,7.000,3.42
2016-01-16,Packers,Cardinals,4,0:05,2,15,CRD 41,19-20,Aaron Rodgers pass complete deep middle to Jeff Janis for 41 yards touchdown,41,1.960,7.000,5.04
2016-01-10,Packers,Washington,2,9:09,2,10,WAS 12,6-11,Aaron Rodgers pass complete short middle to Randall Cobb for 12 yards touchdown. Penalty on Trent Murphy: Defensive 12 On-field (Declined) Penalty on Trent Murphy: Defensive Offside (Declined),12,4.100,7.000,2.90
2016-01-10,Packers,Washington,2,0:33,2,10,WAS 10,16-11,Aaron Rodgers pass complete short left to Davante Adams for 10 yards touchdown,10,4.190,7.000,2.81
2016-01-03,Packers,Vikings,4,13:37,2,11,MIN 16,9-20,Aaron Rodgers pass complete short left to Richard Rodgers for 16 yards touchdown,16,3.810,7.000,3.19
2015-12-27,Packers,Cardinals,3,6:41,2,10,CRD 28,6-31,Aaron Rodgers pass complete short left to Eddie Lacy for 28 yards touchdown. Penalty on Kevin Minter: Roughing the Passer 15 yards,28,3.170,7.000,3.83
2015-12-20,Packers,Raiders,3,5:52,2,2,RAI 30,23-20,Aaron Rodgers pass complete deep right to James Jones for 30 yards touchdown,30,3.590,7.000,3.41
2015-12-13,Packers,Cowboys,2,9:55,3,4,DAL 13,6-0,Aaron Rodgers pass complete short right to James Starks for 13 yards touchdown,13,3.960,7.000,3.04
2015-12-13,Packers,Cowboys,2,2:45,2,3,DAL 3,13-0,Aaron Rodgers pass complete short left to Richard Rodgers for 3 yards touchdown,3,5.530,7.000,1.47
2015-12-03,Packers,Lions,3,4:12,3,6,DET 8,13-20,Aaron Rodgers pass complete short middle to Davante Adams for 8 yards touchdown,8,3.930,7.000,3.07
2015-12-03,Packers,Lions,4,0:00,1,10,GNB 39,27-23,Aaron Rodgers pass complete deep middle to Richard Rodgers for 61 yards touchdown,61,1.530,7.000,5.47
2015-11-26,Packers,Bears,1,5:28,2,10,CHI 25,6-0,Aaron Rodgers pass complete short middle to Eddie Lacy for 25 yards touchdown,25,3.360,7.000,3.64
2015-11-22,Packers,Vikings,2,0:10,3,10,MIN 10,15-6,Aaron Rodgers pass complete short left to Randall Cobb for 10 yards touchdown,10,3.130,7.000,3.87
2015-11-22,Packers,Vikings,4,15:00,3,9,MIN 27,25-13,Aaron Rodgers pass complete deep right to James Jones for 27 yards touchdown,27,2.610,7.000,4.39
2015-11-15,Packers,Lions,4,5:59,2,4,DET 4,9-12,Aaron Rodgers pass complete short middle to Richard Rodgers for 4 yards touchdown,4,5.340,7.000,1.66
2015-11-15,Packers,Lions,4,0:36,1,10,DET 11,16-18,Aaron Rodgers pass complete short middle to Justin Perillo for 11 yards touchdown,11,4.840,7.000,2.16
2015-11-08,Packers,Panthers,1,1:05,2,1,CAR 1,6-3,Aaron Rodgers pass complete short right to Richard Rodgers for 1 yard touchdown,1,5.910,7.000,1.09
2015-11-08,Packers,Panthers,3,14:10,2,4,GNB 47,13-27,Aaron Rodgers pass complete deep left to Randall Cobb for 53 yards touchdown,53,1.930,7.000,5.07
2015-11-08,Packers,Panthers,4,8:04,2,3,CAR 29,20-37,Aaron Rodgers pass complete short right to James Starks for 29 yards touchdown,29,3.580,7.000,3.42
2015-11-08,Packers,Panthers,4,3:47,1,3,CAR 3,28-37,Aaron Rodgers pass complete short middle to Richard Rodgers for 3 yards touchdown,3,6.510,7.000,.49
2015-10-18,Packers,Chargers,1,8:44,2,5,SDG 5,6-0,Aaron Rodgers pass complete short middle to James Starks for 5 yards touchdown,5,5.150,7.000,1.85
2015-10-18,Packers,Chargers,3,0:49,2,5,SDG 8,23-17,Aaron Rodgers pass complete short right to James Jones for 8 yards touchdown,8,4.960,7.000,2.04
2015-10-11,Packers,Rams,1,12:16,3,6,RAM 31,6-0,Aaron Rodgers pass complete short middle to Ty Montgomery for 31 yards touchdown,31,2.540,7.000,4.46
2015-10-11,Packers,Rams,3,12:52,2,10,GNB 35,20-10,Aaron Rodgers pass complete deep middle to James Jones for 65 yards touchdown,65,0.720,7.000,6.28
2015-10-04,Packers,49ers,1,9:12,2,8,SFO 9,6-0,Aaron Rodgers pass complete short left to Richard Rodgers for 9 yards touchdown,9,4.510,7.000,2.49
2015-09-28,Packers,Chiefs,1,9:44,1,8,KAN 8,6-0,Aaron Rodgers pass complete short left to Ty Montgomery for 8 yards touchdown,8,5.370,7.000,1.63
2015-09-28,Packers,Chiefs,1,2:23,2,3,KAN 3,13-0,Aaron Rodgers pass complete short right to Randall Cobb for 3 yards touchdown,3,5.530,7.000,1.47
2015-09-28,Packers,Chiefs,2,0:56,1,10,KAN 27,23-7,Aaron Rodgers pass complete deep left to James Jones for 27 yards touchdown. Penalty on Tamba Hali: Defensive Offside (Declined),27,3.780,7.000,3.22
2015-09-28,Packers,Chiefs,3,7:22,1,4,KAN 4,30-7,Aaron Rodgers pass complete short left to Randall Cobb for 4 yards touchdown,4,6.280,7.000,.72
2015-09-28,Packers,Chiefs,4,12:13,3,4,KAN 4,37-14,Aaron Rodgers pass complete short right to Randall Cobb for 4 yards touchdown,4,4.490,7.000,2.51
2015-09-20,Packers,Seahawks,1,10:51,2,15,SEA 29,6-0,Aaron Rodgers pass complete deep middle to James Jones for 29 yards touchdown. Penalty on Michael Bennett: Defensive Offside (Declined),29,2.760,7.000,4.24
2015-09-20,Packers,Seahawks,4,9:28,2,5,SEA 5,22-17,Aaron Rodgers pass complete short left to Richard Rodgers for 5 yards touchdown,5,5.150,7.000,1.85
2015-09-13,Packers,Bears,1,0:50,3,3,CHI 13,6-3,Aaron Rodgers pass complete short left to James Jones for 13 yards touchdown,13,4.100,7.000,2.90
2015-09-13,Packers,Bears,3,11:59,2,1,CHI 1,16-13,Aaron Rodgers pass complete short left to James Jones for 1 yard touchdown,1,5.910,7.000,1.09
2015-09-13,Packers,Bears,4,10:32,2,4,CHI 5,23-16,Aaron Rodgers pass complete short left to Randall Cobb for 5 yards touchdown. Penalty on Sherrick McManis: Defensive Pass Interference (Declined),5,5.280,7.000,1.72
2015-01-18,Packers,Seahawks,1,0:06,2,5,SEA 13,12-0,Aaron Rodgers pass complete short right to Randall Cobb for 13 yards touchdown. Penalty on Michael Bennett: Defensive Offside (Declined),13,4.610,7.000,2.39
2015-01-11,Packers,Cowboys,1,8:34,3,4,DAL 4,6-0,Aaron Rodgers pass complete short middle to Andrew Quarless for 4 yards touchdown,4,4.490,7.000,2.51
2015-01-11,Packers,Cowboys,3,1:52,3,15,DAL 46,19-21,Aaron Rodgers pass complete deep middle to Davante Adams for 46 yards touchdown,46,0.960,7.000,6.04
2015-01-11,Packers,Cowboys,4,9:10,1,10,DAL 13,26-21,Aaron Rodgers pass complete short left to Richard Rodgers for 13 yards touchdown,13,4.710,7.000,2.29
2014-12-28,Packers,Lions,2,2:30,1,4,DET 4,13-0,Aaron Rodgers pass complete short middle to Randall Cobb for 4 yards touchdown,4,6.280,7.000,.72
2014-12-28,Packers,Lions,3,3:39,3,4,DET 13,20-14,Aaron Rodgers pass complete short middle to Randall Cobb for 13 yards touchdown,13,3.960,7.000,3.04
